method,source_ref,model,params,dataset,metric,value,unit,hardware,comparable,notes
SplitLoRA,lin2024splitlora,GPT-2-M,355M,E2E NLG,convergence_latency_ratio_CenLoRA_over_SplitLoRA,4.8,x,"2 client servers + central server, NVIDIA RTX 3090 (35.6 TFLOPS/client)",direct,"Fig 3 / Sec IV-B; split-learning over commodity GPUs on a small model - closest regime to LoraLink, but 2x3090 not Colab T4"
SplitLoRA,lin2024splitlora,GPT-2-M,355M,E2E NLG,perplexity_gap_vs_centralized_LoRA,0.04,PPL,"2x NVIDIA RTX 3090 clients + server",direct,"Sec IV-B; SplitLoRA converges within <0.04 PPL of centralized LoRA on GPT2-M"
HSplitLoRA,lin2025hsplitlora,LLaMA-2-7B,7B,E2E NLG,convergence_speedup_vs_SplitLoRA_homogeneous,1.5,x,"H3C R5300 G3 (8x RTX 3090) server + Jetson AGX Xavier clients",direct,"Fig 20; heterogeneous split learning - direct comparator regime, but 7B model and 3090 server, not LoraLink's 125M-1.3B / T4"
HSplitLoRA,lin2025hsplitlora,GPT-2-L,774M,E2E NLG,SplitLoRA_PPL_increase_under_device_heterogeneity,0.11,PPL,"8x RTX 3090 server + Jetson AGX Xavier clients",direct,"Fig 19; SplitLoRA PPL rises ~0.11 vs homogeneous when client compute budgets differ"
QLoRA,dettmers2023qlora,LLaMA 65B,65B,instruction finetuning,single_GPU_memory_to_finetune,48,GB,"1x 48GB GPU (e.g. A6000 / A100 48GB)",context,"Abstract; 4-bit NF4 - single-GPU memory-efficiency reference point, not a distributed/commodity comparator"
QLoRA,dettmers2023qlora,Guanaco 7B,7B,inference deployment,inference_memory_footprint,6,GB,"1x GPU",context,"Table 6; 4-bit weights - context for on-device feasibility, not head-to-head with LoraLink training"
QLoRA,dettmers2023qlora,LLaMA 7B-65B,7B-65B,MMLU 5-shot,accuracy_4bit_NF4_double_quant,53.1,percent,"1x GPU",context,"Table 4; matches 16-bit BFloat16 LoRA (53.0%) - shows 4-bit recovers 16-bit quality"
Petals,borzunov2023petals,BLOOM-176B,176B,autoregressive inference over the internet,generation_throughput,1,steps/s,"consumer GPUs pooled by multiple parties over the internet",direct,"Abstract; decentralized commodity-hardware regime - direct comparator, but this figure is inference not fine-tuning, and 176B"
DeepSpeed ZeRO,rajbhandari2020zero,GPT-style LM,100B+,pretraining,aggregate_sustained_throughput,15,PFLOPS,"400 GPUs (NVIDIA V100 class)",trend,"Abstract; data-centre scale - cited for the scaling-efficiency trend only, explicitly NOT head-to-head with LoraLink's Colab T4"
DeepSpeed ZeRO,rajbhandari2020zero,GPT-style LM,13B,pretraining,max_trainable_params_without_model_parallelism,13,B,"per-GPU commodity (V100 32GB class)",trend,"Abstract; ZeRO-DP removes optimizer/gradient/param redundancy - trend reference for memory scaling, not a like-for-like run"
PyTorch FSDP,zhao2023fsdp,GPT-175B,175B,pretraining,per_GPU_throughput,186,TFLOPS,"NVIDIA A100 GPUs, 128-512 GPUs",trend,"Fig 7(b), batch size 2; near-linear 128->512 GPUs - data-centre A100 cluster, cited for scaling trend not head-to-head"
Megatron-LM,narayanan2021megatron,GPT,1T,pretraining,per_GPU_throughput_percent_of_theoretical_peak,52,percent,"3072x NVIDIA A100 GPUs",trend,"Abstract; 502 PFLOP/s aggregate on 3072 A100s - data-centre scale, cited for aggregate scaling efficiency trend only"
Megatron-LM,narayanan2021megatron,GPT,1T,pretraining,per_GPU_throughput,163,TFLOPS,"3072x NVIDIA A100 GPUs",trend,"Sec 5.1 / Table 1 weak-scaling (1B-1T params) - trend reference, not comparable to LoraLink hardware"
